location_name,longitude,latitude,accessibility,type
7-Eleven KINGSWOOD (590),14.56691081,121.0124584,Open,Convenience Store
7-Eleven P.Ocampo 2567,14.56674106,121.0135202,Open,Convenience Store
Beng Q Store,14.56635686,121.0116749,Open,Convenience Store
The 210 Weekend Club,14.56931627,121.0114066,Closed,Cafe
Siklab+Kamagong,14.56652113,121.0088392,Closed,Asian Restaurant
New Lasema Spa Jjiljimbang,14.5649181,121.0086899,Open,Spa
The Pickle Spot Makati,14.5690236,121.0121254,Open,Pickleball Court
Jade Hotel and Suites,14.56783884,121.0133867,Open,Hotel
Mapua University,14.56660021,121.014991,Closed,Private University
Equicom Center,14.56784781,121.0154547,Open,Corporate Office
Palm Towers,14.56386265,121.0102707,Open,Condominium Complex
7/11 BAGTIKAN,14.56267849,121.0108092,Open,Convenience Store
Taiwan Noodles Tea House,14.56367943,121.0137244,Closed,Taiwanese Restaurant
Pen-Coop Cafe,14.56826147,121.009901,Closed,Cafe
Nihon Cafe Metropolitan,14.56658792,121.0130313,Open,Cafe
Ayat Coffee Bar,14.5654318,121.0134174,Closed,Cafe
MIDAS IT Philippines Corp.,14.56638723,121.0106175,Open,Corporate Office
The Bistro Group,14.56636751,121.0100333,Closed,Corporate Office
THC Office,14.5678931,121.0095628,Closed,Corporate Office